Date,h.1
2019-01-09,55.004547953095056
2019-01-10,75.27677854011475
2019-01-11,72.81326958362514
2019-01-14,74.08762775434721
2019-01-15,72.7484847362379
2019-01-16,70.48411432480411
2019-01-17,68.34347501889425
2019-01-18,66.391096765579
2019-01-22,64.53178922565668
2019-01-23,62.80054308286326
2019-01-24,61.07378834604691
2019-01-25,59.43888298132026
2019-01-28,60.90248143305634
2019-01-29,59.43741376769819
2019-01-30,58.13758123938693
2019-01-31,56.93505633967916
2019-02-01,55.69423936510003
2019-02-04,54.41146948829917
2019-02-05,53.18817389587198
2019-02-06,52.89002031402296
2019-02-07,51.864580504770224
2019-02-08,65.67645415708223
2019-02-11,64.1662059453033
2019-02-12,62.33663912148021
2019-02-13,60.758369771547365
2019-02-14,59.22033030674085
2019-02-15,57.69111357476107
2019-02-19,56.37403844306338
2019-02-20,55.417488962790046
2019-02-21,54.61695402438623
2019-02-22,53.7617090009082
2019-02-25,53.46614565359155
2019-02-26,52.53796369408208
2019-02-27,51.4542880908658
2019-02-28,50.4271186344937
2019-03-01,49.46916074847125
2019-03-04,50.410098582564686
2019-03-05,52.9444947543823
2019-03-06,51.81723891777113
2019-03-07,50.765254882008534
2019-03-08,49.83854965910783
2019-03-11,49.48744794399751
2019-03-12,48.59488106079192
2019-03-13,47.7788088071094
2019-03-14,47.03565303711083
2019-03-15,46.5197537849808
2019-03-18,45.83726503452034
2019-03-19,45.42873443028778
2019-03-20,44.84753590173333
2019-03-21,45.16987065323645
2019-03-22,44.61457624393289
2019-03-25,45.01181141836328
2019-03-26,44.49737269018459
2019-03-27,45.94030556571921
2019-03-28,45.42094977376904
2019-03-29,44.93096777201367
2019-04-01,44.81299048761685
2019-04-02,99.33429053458916
2019-04-03,96.10107290347709
2019-04-04,92.76578562167178
2019-04-05,90.17052358962734
2019-04-08,87.36156488403027
2019-04-09,84.82826397627805
2019-04-10,82.70755979190572
2019-04-11,84.9209771909618
2019-04-12,81.95767107195005
2019-04-15,80.01555158488989
2019-04-16,79.24819469798076
2019-04-17,76.57138839106011
2019-04-18,74.14833363125676
2019-04-22,72.19495803233451
2019-04-23,71.9031556204701
2019-04-24,70.61474102146681
2019-04-25,73.76155185929476
2019-04-26,71.67765556599505
2019-04-29,69.58439680292578
2019-04-30,68.1911818184012
2019-05-01,66.28430059447771
2019-05-02,65.05805480193878
2019-05-03,68.06558983495749
2019-05-06,66.2447361486707
2019-05-07,64.69114066511318
2019-05-08,64.30318266315605
2019-05-09,64.70640709301009
2019-05-10,65.21356217826239
2019-05-13,89.42765015253809
2019-05-14,87.02191598104221
2019-05-15,85.04445549540627
2019-05-16,85.2631121815849
2019-05-17,91.78548155950293
2019-05-20,89.88752526648828
2019-05-21,86.66209525978877
2019-05-22,86.22179983769418
2019-05-23,84.28853259151069
2019-05-24,81.60474218697549
2019-05-28,79.0500768999091
2019-05-29,76.52614908554388
2019-05-30,77.5788942000313
2019-05-31,76.69480022470758
2019-06-03,82.51432616854255
2019-06-04,87.49049206177489
2019-06-05,84.70799956589738
2019-06-06,81.73957349096744
2019-06-07,80.30778889436473
2019-06-10,80.48947772569015
2019-06-11,77.96834529906742
2019-06-12,76.71585070759515
2019-06-13,74.33891189249162
2019-06-14,77.87324821613281
2019-06-17,77.65599494265673
2019-06-18,76.62234538817681
2019-06-19,74.87744296477662
2019-06-20,73.8310612380767
2019-06-21,79.28682038592693
2019-06-24,76.93505184121116
2019-06-25,83.31475367782889
2019-06-26,97.20715891781359
2019-06-27,127.10502672239514
2019-06-28,134.8560789810934
2019-07-01,130.05309520426533
2019-07-02,125.26753721143312
2019-07-03,132.81081693403976
2019-07-05,128.08611059882008
2019-07-08,128.87356575626114
2019-07-09,124.28839375217184
2019-07-10,120.95675074185505
2019-07-11,122.50678054926831
2019-07-12,119.54556293271159
2019-07-15,119.4806081869726
2019-07-16,139.33422930357926
2019-07-17,134.17597178528706
2019-07-18,139.1464048183518
2019-07-19,133.71806973369513
2019-07-22,129.1299104361962
2019-07-23,126.50619777916714
2019-07-24,121.58309901076399
2019-07-25,116.8544231216825
2019-07-26,112.3009520556988
2019-07-29,107.96185663839005
2019-07-30,103.89027913773688
2019-07-31,103.36024154375846
2019-08-01,100.76365013364705
2019-08-02,97.1177764054204
2019-08-05,101.82600006159848
2019-08-06,99.37091447426636
2019-08-07,97.99843766891397
2019-08-08,94.33635956721616
2019-08-09,91.04019267931427
2019-08-12,88.07573458292727
2019-08-13,88.63044362411259
2019-08-14,97.08225190125013
2019-08-15,94.43207038237253
2019-08-16,90.98736178335061
2019-08-19,92.43454915066923
2019-08-20,89.48567366527405
2019-08-21,92.87137272672874
2019-08-22,89.4792759872218
2019-08-23,87.42856306143928
2019-08-26,85.14112719317863
2019-08-27,82.87154165405902
2019-08-28,83.84096822164283
2019-08-29,82.30358013808868
2019-08-30,79.57428148538087
2019-09-03,78.13227802223794
2019-09-04,75.54827640113977
2019-09-05,73.09185640442614
2019-09-06,71.88972648216084
2019-09-09,69.92467410707333
2019-09-10,68.96965777833553
2019-09-11,66.91048596134304
2019-09-12,65.98042890500334
2019-09-13,64.14067046393303
2019-09-16,62.48981861934459
2019-09-17,60.824364053784635
2019-09-18,59.28277994726561
2019-09-19,57.82156833111469
2019-09-20,56.646450782418725
2019-09-23,58.84424636183707
2019-09-24,89.4968377336739
2019-09-25,86.80396036310438
2019-09-26,87.57863853286307
2019-09-27,84.85595633041481
2019-09-30,82.76764154589107
2019-10-01,79.93488727286945
2019-10-02,77.25571295895936
2019-10-03,75.32345604757239
