Date,h.1
2023-04-25,57.419975
2023-04-26,58.57418
2023-04-27,59.61078
2023-04-28,59.128387
2023-04-29,57.102867
2023-04-30,55.60013
2023-05-01,56.280228
2023-05-02,58.74745
2023-05-03,57.916428
2023-05-04,57.53109
2023-05-05,56.884384
2023-05-06,56.6341
2023-05-07,57.551765
2023-05-08,57.85576
2023-05-09,59.337524
2023-05-10,57.936584
2023-05-11,55.429504
2023-05-12,57.436646
2023-05-13,57.33564
2023-05-14,54.22928
2023-05-15,53.37484
2023-05-16,58.86773
2023-05-17,57.26439
2023-05-18,55.471413
2023-05-19,52.6112
2023-05-20,52.942703
2023-05-21,53.81466
2023-05-22,54.04519
2023-05-23,54.60624
2023-05-24,57.553604
2023-05-25,59.434906
2023-05-26,55.552208
2023-05-27,50.904213
2023-05-28,50.49124
2023-05-29,54.09652
2023-05-30,53.765717
2023-05-31,50.813362
2023-06-01,51.63511
2023-06-02,50.52774
2023-06-03,51.88337
2023-06-04,51.342598
2023-06-05,50.767105
2023-06-06,51.65731
2023-06-07,56.32879
2023-06-08,64.67225
2023-06-09,59.437233
2023-06-10,55.52849
2023-06-11,57.4373
2023-06-12,55.689903
2023-06-13,54.096718
2023-06-14,51.71128
2023-06-15,51.49633
2023-06-16,57.201576
2023-06-17,53.813652
2023-06-18,53.158493
2023-06-19,53.695694
2023-06-20,54.945114
2023-06-21,60.022797
2023-06-22,68.359146
2023-06-23,58.386665
2023-06-24,59.544815
2023-06-25,59.952606
2023-06-26,58.03042
2023-06-27,58.75637
2023-06-28,59.5309
2023-06-29,60.239914
2023-06-30,60.83557
2023-07-01,51.06836
2023-07-02,50.098343
2023-07-03,55.10212
2023-07-04,54.34562
2023-07-05,51.768356
2023-07-06,49.642944
2023-07-07,55.46534
2023-07-08,51.73784
2023-07-09,48.561615
2023-07-10,50.17511
2023-07-11,50.911842
2023-07-12,50.29628
2023-07-13,48.74804
2023-07-14,50.368423
2023-07-15,53.355103
2023-07-16,50.524284
2023-07-17,50.202858
2023-07-18,50.02072
2023-07-19,50.959602
2023-07-20,47.22898
2023-07-21,47.75744
2023-07-22,47.22573
2023-07-23,45.712753
2023-07-24,45.774307
2023-07-25,47.595818
2023-07-26,46.347954
2023-07-27,48.647896
2023-07-28,44.99466
2023-07-29,42.980812
2023-07-30,43.87928
2023-07-31,44.384613
2023-08-01,43.507668
2023-08-02,43.310257
2023-08-03,43.755394
2023-08-04,44.657898
2023-08-05,42.18985
2023-08-06,41.80178
2023-08-07,41.875748
2023-08-08,44.436966
2023-08-09,43.596832
2023-08-10,51.045563
2023-08-11,41.08535
2023-08-12,39.32666
2023-08-13,39.851562
2023-08-14,43.081734
2023-08-15,42.848793
2023-08-16,42.856453
2023-08-17,43.781128
2023-08-18,46.259254
2023-08-19,58.198273
2023-08-20,46.331367
2023-08-21,43.716415
2023-08-22,49.120598
2023-08-23,48.43142
2023-08-24,42.2269
2023-08-25,46.371704
2023-08-26,39.419823
2023-08-27,43.628143
2023-08-28,43.252403
2023-08-29,43.184975
2023-08-30,53.84041
2023-08-31,43.847343
2023-09-01,48.921516
2023-09-02,51.89994
2023-09-03,47.94757
2023-09-04,47.70806
2023-09-05,45.02694
2023-09-06,45.848373
2023-09-07,44.700256
2023-09-08,44.448654
2023-09-09,47.13314
2023-09-10,45.079994
2023-09-11,46.63105
2023-09-12,51.32186
2023-09-13,50.014618
2023-09-14,47.720238
2023-09-15,49.483047
2023-09-16,46.176125
2023-09-17,48.87246
2023-09-18,48.259315
2023-09-19,44.884323
2023-09-20,48.665382
2023-09-21,44.695747
2023-09-22,45.500763
2023-09-23,48.510857
2023-09-24,52.162666
2023-09-25,46.86006
2023-09-26,48.007584
2023-09-27,49.24832
2023-09-28,49.38392
2023-09-29,49.942787
2023-09-30,46.88916
2023-10-01,47.70906
2023-10-02,47.528336
2023-10-03,47.806503
2023-10-04,48.26861
2023-10-05,46.2706
2023-10-06,45.63511
2023-10-07,45.698547
2023-10-08,51.019768
2023-10-09,52.3453
2023-10-10,44.527946
2023-10-11,46.913612
2023-10-12,55.10151
2023-10-13,52.613922
2023-10-14,53.279686
2023-10-15,62.959145
2023-10-16,56.36444
2023-10-17,61.234215
2023-10-18,53.564995
2023-10-19,49.07158
2023-10-20,56.094986
2023-10-21,58.027733
2023-10-22,53.838264
2023-10-23,56.413208
2023-10-24,62.319626
2023-10-25,61.2685
2023-10-26,59.42431
2023-10-27,65.15435
2023-10-28,61.8993
2023-10-29,59.240723
2023-10-30,57.06652
2023-10-31,60.18795
2023-11-01,60.045494
2023-11-02,58.665627
2023-11-03,60.761063
2023-11-04,60.778374
2023-11-05,57.983208
2023-11-06,58.310364
2023-11-07,62.21525
2023-11-08,56.165306
2023-11-09,57.934
2023-11-10,56.460175
2023-11-11,58.858704
2023-11-12,60.056023
2023-11-13,57.058144
2023-11-14,59.59214
2023-11-15,58.237106
2023-11-16,57.264893
2023-11-17,55.153534
2023-11-18,56.25831
2023-11-19,53.486977
2023-11-20,53.964478
2023-11-21,55.65142
2023-11-22,52.696625
2023-11-23,54.370743
2023-11-24,55.357994
2023-11-25,57.71885
2023-11-26,56.956276
2023-11-27,59.19761
2023-11-28,57.935432
2023-11-29,56.91662
2023-11-30,58.505417
2023-12-01,57.61168
2023-12-02,56.80298
2023-12-03,59.558113
2023-12-04,57.378197
2023-12-05,58.44941
2023-12-06,57.582947
2023-12-07,58.576706
2023-12-08,57.21717
2023-12-09,58.233833
2023-12-10,60.172913
2023-12-11,60.16591
2023-12-12,60.951675
2023-12-13,60.172997
2023-12-14,58.41185
2023-12-15,58.669563
2023-12-16,61.16439
2023-12-17,60.26954
2023-12-18,61.976753
2023-12-19,67.1655
2023-12-20,66.943016
2023-12-21,64.02025
2023-12-22,64.59353
2023-12-23,67.082184
2023-12-24,68.55563
2023-12-25,65.5229
2023-12-26,66.644806
2023-12-27,67.01258
2023-12-28,68.22663
2023-12-29,72.46458
2023-12-30,73.91888
2023-12-31,70.91997
2024-01-01,64.192215
2024-01-02,63.49005
2024-01-03,58.08712
2024-01-04,62.521523
2024-01-05,60.8713
2024-01-06,61.765778
2024-01-07,61.033546
2024-01-08,59.665718
2024-01-09,57.79441
2024-01-10,59.75171
2024-01-11,61.700897
2024-01-12,58.29445
2024-01-13,55.313126
2024-01-14,58.53943
2024-01-15,59.775963
2024-01-16,55.403404
2024-01-17,52.99298
2024-01-18,57.039726
2024-01-19,59.441353
2024-01-20,58.31469
2024-01-21,56.58039
2024-01-22,56.047516
2024-01-23,54.46177
2024-01-24,53.385384
2024-01-25,51.351738
2024-01-26,51.18911
2024-01-27,52.47966
2024-01-28,49.83883
2024-01-29,49.70069
2024-01-30,51.446106
2024-01-31,52.91758
2024-02-01,56.203117
2024-02-02,56.126663
2024-02-03,54.754997
2024-02-04,57.754517
2024-02-05,54.997383
2024-02-06,58.678978
2024-02-07,57.243256
2024-02-08,56.91606
2024-02-09,58.573746
2024-02-10,59.77207
2024-02-11,59.25167
2024-02-12,57.87507
2024-02-13,56.16649
2024-02-14,58.28414
2024-02-15,54.652657
2024-02-16,56.841682
2024-02-17,59.089607
2024-02-18,57.538803
2024-02-19,59.065575
2024-02-20,76.189804
2024-02-21,67.65402
2024-02-22,66.828995
2024-02-23,67.91021
2024-02-24,73.88564
2024-02-25,80.12232
2024-02-26,76.06734
2024-02-27,78.76127
2024-02-28,71.63595
2024-02-29,75.16734
2024-03-01,77.8126
2024-03-02,81.44747
2024-03-03,86.192024
2024-03-04,80.73154
2024-03-05,79.747826
2024-03-06,77.55794
2024-03-07,79.3086
2024-03-08,80.00084
2024-03-09,77.3184
2024-03-10,76.22707
2024-03-11,80.135185
2024-03-12,82.28458
2024-03-13,82.79239
2024-03-14,79.05042
2024-03-15,78.50713
2024-03-16,75.82415
2024-03-17,82.476524
2024-03-18,79.19914
2024-03-19,78.155304
2024-03-20,79.27914
2024-03-21,74.52639
2024-03-22,78.12324
2024-03-23,80.03452
2024-03-24,75.676025
2024-03-25,78.689354
2024-03-26,73.70605
2024-03-27,75.28887
2024-03-28,74.288376
2024-03-29,74.988335
2024-03-30,81.38058
2024-03-31,80.044365
2024-04-01,77.224724
2024-04-02,74.6735
2024-04-03,69.33889
2024-04-04,69.889626
2024-04-05,80.034424
2024-04-06,75.46227
2024-04-07,72.06345
2024-04-08,74.78721
2024-04-09,73.335884
2024-04-10,73.12101
2024-04-11,73.82593
2024-04-12,75.26194
2024-04-13,74.95838
2024-04-14,71.54187
2024-04-15,65.52378
2024-04-16,67.532776
2024-04-17,64.410515
2024-04-18,62.745613
2024-04-19,61.909096
2024-04-20,61.149933
2024-04-21,59.443336
2024-04-22,65.621414
2024-04-23,66.80995
2024-04-24,62.765327
2024-04-25,65.86703
2024-04-26,67.086105
2024-04-27,64.24855
2024-04-28,62.506744
2024-04-29,61.89662
2024-04-30,63.095512
2024-05-01,62.87828
2024-05-02,65.85606
2024-05-03,63.839577
2024-05-04,61.957893
2024-05-05,62.538826
2024-05-06,62.995514
2024-05-07,66.30476
2024-05-08,65.82737
2024-05-09,65.95992
2024-05-10,64.9301
2024-05-11,63.291374
2024-05-12,68.091965
2024-05-13,66.37792
2024-05-14,65.83081
2024-05-15,65.65553
2024-05-16,64.54746
2024-05-17,63.37429
2024-05-18,62.253883
2024-05-19,60.928947
2024-05-20,60.886276
2024-05-21,59.75894
2024-05-22,59.02527
2024-05-23,58.44284
2024-05-24,56.251892
2024-05-25,55.174103
2024-05-26,56.763794
2024-05-27,57.762375
2024-05-28,58.367157
2024-05-29,54.54212
2024-05-30,53.771515
2024-05-31,54.21814
